sample_index,flight_id,p_hat,y_true,d_truth_to_center_m,mean_sample_to_center_m,bin_id_equal_width,bin_id_equal_count
118396,24/08/13_EZS59AV_5380,0.5625,1.0,67.72416687011719,138.5907745361328,5,6
226616,24/05/23_WMT4ZA_4477,0.40625,0.0,209.6033477783203,155.5069580078125,4,3
344600,24/02/04_RYR60SM_5551,0.40625,0.0,648.121826171875,185.10923767089844,4,3
10142,24/06/24_EZS26FY_6637,0.0,0.0,352.0256652832031,615.315185546875,0,0
136335,24/07/10_SXS813_7102,0.34375,1.0,54.915985107421875,154.49929809570312,3,2
221971,24/08/21_EJU57CZ_4222,0.65625,1.0,49.20064163208008,116.12467956542969,6,8
66631,24/09/13_SVW22ES_7939,0.25,0.0,169.1940460205078,356.0511779785156,2,2
205584,24/12/21_ASL71P_5695,0.5,1.0,47.20235824584961,116.00299835205078,5,4
354704,24/12/24_AEE2EG_1963,0.65625,1.0,87.23038482666016,96.25883483886719,6,8
303184,24/09/10_EJU78MY_4061,0.46875,0.0,236.92640686035156,140.36428833007812,4,4
215465,24/05/10_TUI7AJ_2150,0.25,1.0,10.940357208251953,200.42373657226562,2,2
219920,24/09/18_SWR9AM_5854,0.5,1.0,74.6596450805664,119.68569946289062,5,4
85727,24/04/29_MEA213_8199,0.25,0.0,191.0634765625,180.03102111816406,2,2
103281,24/10/24_DCAWN_2443,0.34375,0.0,236.79714965820312,195.6256561279297,3,2
171459,24/01/30_WZZ1991_4992,0.59375,1.0,30.596158981323242,108.09516906738281,5,6
77394,24/09/30_DLA4PU_342,0.0,0.0,162.24615478515625,357.5987243652344,0,0
250118,24/06/09_DIMPC_2592,0.75,1.0,56.12541580200195,70.79350280761719,7,9
308215,24/12/11_DFLUX_2033,0.59375,1.0,77.7146224975586,170.05657958984375,5,6
368392,24/05/23_FJO54A_7897,0.625,0.0,105.0883560180664,91.47107696533203,6,7
56207,24/09/19_HB4999_6777,0.125,0.0,2389.022705078125,917.9945678710938,1,1
102667,24/09/05_CGF840_4467,0.6875,1.0,18.78330421447754,80.99879455566406,6,8
365025,24/11/25_DLH08P_1700,0.625,1.0,41.5459098815918,131.67330932617188,6,7
58482,24/06/30_NSZ5140_4831,0.6875,1.0,30.547094345092773,76.08294677734375,6,8
148082,24/07/10_AAL715_9861,0.71875,1.0,20.691181182861328,78.08319091796875,7,8
72039,24/08/23_VJH721_2465,0.59375,0.0,145.5580291748047,168.49668884277344,5,6
386425,24/09/05_EJU13XC_3979,0.0,0.0,432.2517395019531,634.6124877929688,0,0
37984,24/08/21_BAW138_3251,0.625,1.0,23.534881591796875,146.91566467285156,6,7
385557,24/04/08_LGL203_6208,0.0,0.0,801.1529541015625,1020.6759643554688,0,0
399260,24/07/10_N2239X_9706,0.0,0.0,212.7387237548828,396.8860168457031,0,0
92273,24/11/22_BAW74E_2246,0.28125,0.0,177.6712188720703,222.08462524414062,2,2
96488,24/01/09_AEE831_1877,0.71875,1.0,70.01517486572266,106.08949279785156,7,8
39810,24/06/10_BCS5707_1897,0.5,1.0,52.31589889526367,186.4746551513672,5,4
101269,24/05/09_ART9T5_8315,0.0,0.0,1208.7655029296875,743.8424072265625,0,0
344867,24/02/14_SWR795Z_3474,0.09375,0.0,159.53453063964844,264.5753479003906,0,1
119312,24/02/16_VLG41KL_568,0.6875,1.0,40.894107818603516,123.82489013671875,6,8
320874,24/01/30_WZZ8QF_5002,0.4375,1.0,78.58325958251953,173.13113403320312,4,3
202504,24/07/29_SAS791_4926,0.6875,1.0,47.319557189941406,106.154541015625,6,8
249922,24/08/13_RYR75AG_7582,0.8125,1.0,27.6134033203125,65.58932495117188,8,9
363147,24/06/06_EZS19CR_6326,0.3125,0.0,399.7975158691406,352.0584716796875,3,2
13605,24/12/24_AFR76BQ_895,0.5625,1.0,42.52058410644531,97.66690826416016,5,6
154539,24/01/30_EZY70ZY_2115,0.625,1.0,69.66437530517578,150.28846740722656,6,7
371424,24/05/23_UAL884_9008,0.46875,0.0,155.3538818359375,161.93597412109375,4,4
24876,24/09/30_TSM605_9058,0.6875,1.0,40.13745880126953,64.57416534423828,6,8
171491,24/12/20_ITY150_6565,0.0,0.0,136.0352020263672,276.81585693359375,0,0
264683,24/07/28_MEGWD_3745,0.59375,1.0,0.673145592212677,116.35017395019531,5,6
286582,24/08/29_EJU38ZQ_4684,0.625,1.0,5.340002536773682,95.94296264648438,6,7
185656,24/10/24_BAW719_2795,0.4375,0.0,144.6880340576172,151.38751220703125,4,3
167444,24/12/20_AEA15HY_835,0.71875,1.0,35.418922424316406,130.65589904785156,7,8
153333,24/07/28_N519QS_8884,0.21875,0.0,138.9217529296875,295.27349853515625,2,2
283004,24/09/18_GSW613_6102,0.78125,1.0,16.101242065429688,72.7227783203125,7,9
357984,24/02/17_SVA115_6723,0.78125,1.0,22.682937622070312,99.09979248046875,7,9
286751,24/06/30_SVA116_9199,0.59375,1.0,9.00086784362793,138.6146240234375,5,6
155606,24/10/18_WZZ3195_5777,0.4375,0.0,3745.098876953125,186.29873657226562,4,3
130468,24/06/24_CAI95PE_7512,0.625,1.0,74.77507781982422,99.19273376464844,6,7
91677,24/02/17_EZS29RT_4613,0.5625,0.0,270.2342834472656,140.87741088867188,5,6
45453,24/02/14_EZS85KA_3758,0.5625,1.0,57.32909393310547,119.28067016601562,5,6
32739,24/04/29_SVA101_8413,0.40625,1.0,76.99036407470703,161.56997680664062,4,3
131779,24/09/10_EWG97XH_2024,0.5,1.0,34.52738952636719,147.58279418945312,5,4
6670,24/06/30_BEL3SG_4408,0.0,0.0,124.17452239990234,250.55612182617188,0,0
92000,24/10/16_WMT2EE_7871,0.4375,0.0,3039.767822265625,210.45156860351562,4,3
348204,24/06/18_WMT6XZ_9080,0.65625,1.0,35.27088165283203,123.2098388671875,6,8
